"date","weighted","close","high","low","open","volume"
"2021-04-26 19:04:00","2521.2","2509.57","2548.88","2502.52","2534.9","57122531.04"
"2021-04-26 20:04:00","2513.1","2517.79","2523.26","2506.94","2509.57","30848091.08"
"2021-04-26 21:04:00","2526.65","2520.96","2533.82","2516.7","2517.79","35347395.71"
"2021-04-26 22:04:00","2499.66","2496.98","2520.96","2485.34","2520.96","34912369.99"
"2021-04-26 23:04:00","2500.99","2509.75","2510.53","2494.26","2496.98","22051931.44"
"2021-04-26 24:04:00","2526.95","2530.72","2534.7","2508.23","2509.75","32234840.9"
"2021-04-27 01:04:00","2553.71","2564.35","2567.95","2530.55","2530.72","66800074.17"
"2021-04-27 02:04:00","2554.27","2547.97","2565.68","2537.05","2564.35","30412581.34"
"2021-04-27 03:04:00","2547.79","2538.24","2559.29","2537.41","2547.97","31911024.73"
"2021-04-27 04:04:00","2548.23","2544","2558.59","2535.33","2538.24","48719748.72"
"2021-04-27 05:04:00","2545.5","2547.32","2553.75","2539.53","2544","40698530.75"
"2021-04-27 06:04:00","2566.67","2575.83","2580.58","2547.31","2547.32","46678733.77"
"2021-04-27 07:04:00","2570.86","2558.09","2586.55","2554.66","2575.83","61580649.48"
"2021-04-27 08:04:00","2554.92","2558.04","2570.96","2536.9","2558.09","85245663.13"
"2021-04-27 09:04:00","2604.11","2638.6","2640.74","2541.31","2558.04","198922375.9"
"2021-04-27 10:04:00","2647.41","2667.07","2672.91","2621.54","2638.6","167474572.27"
"2021-04-27 11:04:00","2652.47","2635.74","2681.47","2627.1","2667.07","148335390.62"
"2021-04-27 12:04:00","2637.49","2647.03","2648.26","2621.18","2635.74","94759617.15"
"2021-04-27 13:04:00","2638.81","2645.26","2647.87","2629.94","2647.03","59771205.27"
"2021-04-27 14:04:00","2624.72","2625.11","2646.17","2605.69","2645.26","76160949.86"
"2021-04-27 15:04:00","2637.84","2647.82","2649.53","2625.11","2625.11","59482160.2"
"2021-04-27 16:04:00","2638.57","2647.05","2653.61","2626.01","2647.82","39788824.34"
"2021-04-27 17:04:00","2627.72","2624.95","2647.45","2612.66","2647.05","47686532.12"
"2021-04-27 18:04:00","2643.4","2667.93","2667.97","2611.72","2624.95","59587524.04"
"2021-04-27 19:04:00","2685.22","2695.43","2696.87","2667.79","2667.93","113702676.72"
"2021-04-27 20:04:00","2703.12","2703.8","2717.95","2687.18","2695.43","97688804.11"
"2021-04-27 21:04:00","2686","2657.91","2704.66","2656.39","2703.8","89504006.85"
"2021-04-27 22:04:00","2643.48","2630.78","2657.92","2630.2","2657.91","84196967.26"
"2021-04-27 23:04:00","2640.89","2632.89","2653.31","2623.85","2630.78","56745524.01"
"2021-04-27 24:04:00","2625.37","2618.22","2648.55","2606.99","2632.89","54983172.72"
"2021-04-28 01:04:00","2584.88","2592.3","2621.05","2560.07","2618.22","163789665.35"
"2021-04-28 02:04:00","2610.53","2615.66","2623.26","2582.58","2592.3","44992870.6"
"2021-04-28 03:04:00","2615.47","2592.23","2629.53","2592.01","2615.66","34170464.39"
